Date,MaxTemp,MinTemp
7/1/1942,25.55555556,22.22222222
7/2/1942,28.88888889,21.66666667
7/3/1942,26.11111111,22.22222222
7/4/1942,26.66666667,22.22222222
7/5/1942,26.66666667,21.66666667
7/6/1942,26.66666667,21.66666667
7/7/1942,28.33333333,22.77777778
7/8/1942,26.66666667,22.22222222
7/9/1942,27.22222222,22.77777778
7/10/1942,25.55555556,21.66666667
7/11/1942,25.55555556,21.66666667
7/12/1942,24.44444444,22.22222222
7/13/1942,26.11111111,21.66666667
7/14/1942,26.11111111,22.22222222
7/15/1942,25.55555556,22.77777778
7/16/1942,26.11111111,21.11111111
7/17/1942,28.33333333,22.22222222
7/18/1942,26.66666667,21.11111111
7/19/1942,27.77777778,21.66666667
7/20/1942,26.11111111,20
7/21/1942,24.44444444,21.66666667
7/22/1942,24.44444444,21.11111111
7/23/1942,26.66666667,20.55555556
7/24/1942,27.22222222,18.88888889
7/25/1942,27.22222222,19.44444444
7/26/1942,25.55555556,19.44444444
7/27/1942,25.55555556,19.44444444
7/28/1942,26.66666667,19.44444444
7/29/1942,26.66666667,19.44444444
7/30/1942,27.22222222,19.44444444
7/31/1942,27.22222222,19.44444444
8/1/1942,26.11111111,20
8/2/1942,24.44444444,20.55555556
8/3/1942,24.44444444,20.55555556
8/4/1942,26.66666667,21.11111111
8/5/1942,26.66666667,21.11111111
8/6/1942,24.44444444,21.66666667
8/7/1942,24.44444444,21.11111111
8/8/1942,26.11111111,20.55555556
8/9/1942,26.11111111,20.55555556
8/10/1942,27.22222222,21.66666667
8/11/1942,25,21.66666667
8/12/1942,25.55555556,20.55555556
8/13/1942,25.55555556,20.55555556
8/14/1942,25.55555556,20
8/15/1942,25.55555556,17.77777778
8/16/1942,25.55555556,19.44444444
8/17/1942,25.55555556,20
8/18/1942,26.11111111,20.55555556
8/19/1942,27.77777778,20.55555556
8/20/1942,23.88888889,20.55555556
8/21/1942,32.77777778,20
8/22/1942,27.22222222,20.55555556
8/23/1942,25,20.55555556
8/24/1942,27.77777778,20.55555556
8/25/1942,26.66666667,20
8/26/1942,27.22222222,20.55555556
8/27/1942,27.22222222,20.55555556
8/28/1942,27.22222222,20.55555556
8/29/1942,25,21.11111111
8/30/1942,27.22222222,20.55555556
8/31/1942,27.22222222,21.11111111
9/1/1942,27.22222222,21.11111111
9/2/1942,27.22222222,22.22222222
9/3/1942,27.22222222,21.11111111
9/4/1942,27.22222222,21.11111111
9/5/1942,27.22222222,22.22222222
9/6/1942,26.66666667,22.22222222
9/7/1942,26.66666667,21.66666667
9/8/1942,27.22222222,21.11111111
9/9/1942,26.66666667,21.66666667
9/10/1942,28.33333333,21.11111111
9/11/1942,26.11111111,21.11111111
9/12/1942,27.22222222,21.66666667
9/13/1942,27.22222222,21.66666667
9/14/1942,27.77777778,22.77777778
9/15/1942,27.77777778,22.77777778
9/16/1942,30,21.66666667
9/17/1942,27.77777778,22.22222222
9/18/1942,31.11111111,21.11111111
9/19/1942,34.44444444,22.22222222
9/20/1942,30.55555556,21.66666667
9/21/1942,29.44444444,22.22222222
9/22/1942,30.55555556,22.22222222
9/23/1942,26.11111111,23.33333333
9/24/1942,25.55555556,22.22222222
9/25/1942,30.55555556,21.66666667
9/26/1942,31.66666667,22.22222222
9/27/1942,31.66666667,21.11111111
9/28/1942,32.22222222,20.55555556
9/29/1942,27.77777778,22.22222222
9/30/1942,29.44444444,22.22222222
10/1/1942,31.11111111,23.33333333
10/2/1942,31.11111111,22.77777778
10/3/1942,31.11111111,22.22222222
10/4/1942,27.22222222,21.11111111
10/5/1942,31.11111111,22.22222222
10/6/1942,29.44444444,22.22222222
10/7/1942,29.44444444,22.77777778
10/8/1942,28.88888889,20.55555556
10/9/1942,31.11111111,22.22222222
10/10/1942,30.55555556,22.22222222
10/11/1942,27.77777778,21.11111111
10/12/1942,30.55555556,21.11111111
10/13/1942,30,22.77777778
10/14/1942,27.22222222,22.22222222
10/15/1942,30.55555556,21.11111111
10/16/1942,30.55555556,22.22222222
10/17/1942,28.88888889,21.66666667
10/18/1942,30,22.22222222
10/19/1942,30,21.66666667
10/20/1942,29.44444444,22.22222222
10/21/1942,28.88888889,22.22222222
10/22/1942,30,22.22222222
10/23/1942,30.55555556,22.77777778
10/24/1942,30.55555556,22.22222222
10/25/1942,31.11111111,22.22222222
10/26/1942,31.11111111,22.22222222
10/27/1942,31.66666667,22.77777778
10/28/1942,31.11111111,22.22222222
10/29/1942,32.22222222,21.11111111
10/30/1942,31.66666667,21.66666667
10/31/1942,30.55555556,20.55555556
11/1/1942,31.11111111,23.33333333
11/2/1942,31.66666667,22.22222222
11/3/1942,31.11111111,22.22222222
11/4/1942,30.55555556,22.77777778
11/5/1942,31.66666667,22.22222222
11/6/1942,32.77777778,22.22222222
11/7/1942,31.66666667,23.33333333
11/8/1942,31.11111111,22.77777778
11/9/1942,31.66666667,22.77777778
11/10/1942,32.77777778,22.77777778
11/11/1942,32.22222222,23.33333333
11/12/1942,32.22222222,22.77777778
11/13/1942,32.22222222,22.77777778
11/14/1942,32.22222222,22.77777778
11/15/1942,32.22222222,22.77777778
11/16/1942,32.22222222,22.77777778
11/17/1942,32.77777778,23.33333333
11/18/1942,31.66666667,23.33333333
11/19/1942,31.66666667,22.77777778
11/20/1942,31.66666667,23.33333333
11/21/1942,32.22222222,22.77777778
11/22/1942,31.66666667,21.11111111
11/23/1942,32.77777778,23.33333333
11/24/1942,32.22222222,23.33333333
11/25/1942,33.33333333,23.33333333
11/26/1942,32.22222222,22.22222222
11/27/1942,32.77777778,21.66666667
11/28/1942,31.11111111,21.66666667
11/29/1942,32.22222222,22.77777778
11/30/1942,32.77777778,23.33333333
12/1/1942,32.22222222,22.22222222
12/2/1942,32.77777778,23.33333333
12/3/1942,31.66666667,19.44444444
12/4/1942,31.11111111,22.22222222
12/5/1942,31.66666667,22.22222222
12/6/1942,31.66666667,22.22222222
12/7/1942,31.11111111,21.66666667
12/8/1942,32.22222222,22.22222222
12/9/1942,32.77777778,23.88888889
12/10/1942,32.77777778,20
12/11/1942,29.44444444,20
12/12/1942,26.66666667,19.44444444
12/13/1942,30.55555556,20.55555556
12/14/1942,31.11111111,22.77777778
12/15/1942,31.11111111,22.22222222
12/16/1942,30.55555556,22.22222222
12/17/1942,31.11111111,22.77777778
12/18/1942,30.55555556,22.77777778
12/19/1942,31.11111111,21.66666667
